TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_PRECISION,DATA_SCALE,HCAT_TYPE
CVTRAN,MORTTYPE,VARCHAR2,NA,NA,string
CVTRAN,MIP,NUMBER,12,2,double
CVTRAN,PERSPROP,NUMBER,12,2,double
CVTRAN,ACTCONSID,NUMBER,12,2,double
CVTRAN,CONSIDAMT,NUMBER,10,0,bigint
CVTRAN,TNN,VARCHAR2,NA,NA,string
CVTRAN,ARMSLEN,VARCHAR2,NA,NA,string
CVTRAN,USEIND,VARCHAR2,NA,NA,string
CVTRAN,VOIDFLG,VARCHAR2,NA,NA,string
CVTRAN,SALEKEY,NUMBER,8,0,bigint
CVTRAN,TRANSDT,DATE,NA,NA,string
CVTRAN,OLDYR,NUMBER,4,0,bigint
CVTRAN,OLDSEQ,NUMBER,3,0,bigint
CVTRAN,NEWSEQ,NUMBER,3,0,bigint
CVTRAN,BOOK,VARCHAR2,NA,NA,string
CVTRAN,PAGE,VARCHAR2,NA,NA,string
CVTRAN,OLDOWN,VARCHAR2,NA,NA,string
CVTRAN,OWN1,VARCHAR2,NA,NA,string
CVTRAN,SOURCE,VARCHAR2,NA,NA,string
CVTRAN,SALETYPE,VARCHAR2,NA,NA,string
CVTRAN,SALEVAL,VARCHAR2,NA,NA,string
CVTRAN,MKTVALID,VARCHAR2,NA,NA,string
CVTRAN,NOTE1,VARCHAR2,NA,NA,string
CVTRAN,NOTE2,VARCHAR2,NA,NA,string
CVTRAN,NOTE3,VARCHAR2,NA,NA,string
CVTRAN,NOTE4,VARCHAR2,NA,NA,string
CVTRAN,NOTE5,VARCHAR2,NA,NA,string
CVTRAN,NOTE6,VARCHAR2,NA,NA,string
CVTRAN,STEB,VARCHAR2,NA,NA,string
CVTRAN,ASMT,NUMBER,10,0,bigint
CVTRAN,STFLAG,VARCHAR2,NA,NA,string
CVTRAN,NOPAR,NUMBER,4,0,bigint
CVTRAN,INSTRUNO,VARCHAR2,NA,NA,string
CVTRAN,INSTRTYP,VARCHAR2,NA,NA,string
CVTRAN,IMAGENO,VARCHAR2,NA,NA,string
CVTRAN,ADJAMT,NUMBER,10,0,bigint
CVTRAN,ADJPRICE,NUMBER,10,0,bigint
CVTRAN,ADJREAS,VARCHAR2,NA,NA,string
CVTRAN,RECORDDT,DATE,NA,NA,string
CVTRAN,APRTOT,NUMBER,10,0,bigint
CVTRAN,ASR,NUMBER,7,4,double
CVTRAN,LINKNO,VARCHAR2,NA,NA,string
CVTRAN,USER1,VARCHAR2,NA,NA,string
CVTRAN,USER2,VARCHAR2,NA,NA,string
CVTRAN,USER3,VARCHAR2,NA,NA,string
CVTRAN,USER4,VARCHAR2,NA,NA,string
CVTRAN,USER5,VARCHAR2,NA,NA,string
CVTRAN,USER6,VARCHAR2,NA,NA,string
CVTRAN,USER7,VARCHAR2,NA,NA,string
CVTRAN,USER8,VARCHAR2,NA,NA,string
CVTRAN,USER9,VARCHAR2,NA,NA,string
CVTRAN,USER10,VARCHAR2,NA,NA,string
CVTRAN,USER11,VARCHAR2,NA,NA,string
CVTRAN,USER12,VARCHAR2,NA,NA,string
CVTRAN,USER13,VARCHAR2,NA,NA,string
CVTRAN,USER14,VARCHAR2,NA,NA,string
CVTRAN,USER15,VARCHAR2,NA,NA,string
CVTRAN,USER16,VARCHAR2,NA,NA,string
CVTRAN,USER17,VARCHAR2,NA,NA,string
CVTRAN,USER18,VARCHAR2,NA,NA,string
CVTRAN,USER19,VARCHAR2,NA,NA,string
CVTRAN,USER20,VARCHAR2,NA,NA,string
CVTRAN,USER21,VARCHAR2,NA,NA,string
CVTRAN,USER22,VARCHAR2,NA,NA,string
CVTRAN,USER23,VARCHAR2,NA,NA,string
CVTRAN,USER24,VARCHAR2,NA,NA,string
CVTRAN,IASW_ID,NUMBER,NA,NA,bigint
CVTRAN,TRANS_ID,NUMBER,10,0,bigint
CVTRAN,UPD_STATUS,VARCHAR2,NA,NA,string
CVTRAN,USER25,VARCHAR2,NA,NA,string
CVTRAN,USER26,VARCHAR2,NA,NA,string
CVTRAN,USER27,VARCHAR2,NA,NA,string
CVTRAN,USER28,VARCHAR2,NA,NA,string
CVTRAN,USER29,VARCHAR2,NA,NA,string
CVTRAN,USER30,VARCHAR2,NA,NA,string
CVTRAN,USER31,VARCHAR2,NA,NA,string
CVTRAN,USER32,VARCHAR2,NA,NA,string
CVTRAN,USER33,VARCHAR2,NA,NA,string
CVTRAN,USER34,VARCHAR2,NA,NA,string
CVTRAN,ALTID,VARCHAR2,NA,NA,string
CVTRAN,BLDGTYP,VARCHAR2,NA,NA,string
CVTRAN,NEWYR,NUMBER,4,0,bigint
CVTRAN,USER35,VARCHAR2,NA,NA,string
CVTRAN,USER36,VARCHAR2,NA,NA,string
CVTRAN,USER37,VARCHAR2,NA,NA,string
CVTRAN,USER38,VARCHAR2,NA,NA,string
CVTRAN,USER39,VARCHAR2,NA,NA,string
CVTRAN,USER40,VARCHAR2,NA,NA,string
CVTRAN,USER41,VARCHAR2,NA,NA,string
CVTRAN,USER42,VARCHAR2,NA,NA,string
CVTRAN,USER43,VARCHAR2,NA,NA,string
CVTRAN,USER44,VARCHAR2,NA,NA,string
CVTRAN,USER45,VARCHAR2,NA,NA,string
CVTRAN,USER46,VARCHAR2,NA,NA,string
CVTRAN,USER47,VARCHAR2,NA,NA,string
